adult,militaryContract,coal,socialPercentile,furLeather,environmentPercentile,socialScore,esgPerformance,environmentScore,totalEsg,governanceScore,gmo,catholic,controversialWeapons,nuclear,animalTesting,peerCount,highestControversy,peerGroup,percentile,gambling,alcoholic,governancePercentile,pesticides,palmOil,tobacco,smallArms,Stock Ticker,Sector,Name
False,False,False,0,False,0,9.98,,10.35,25.73,5.4,False,False,False,False,False,92,2,Food Products,45.9,False,True,0,False,False,False,False,STZ,Consumer Staples,Constellation Brands
False,False,False,0,False,0,8.91,,8.89,24.16,6.36,False,False,False,False,False,9,2,Energy Services,39.76,False,False,0,False,False,False,False,HAL,Energy,Halliburton
False,False,False,0,False,0,8.78,,1.8,24.31,13.74,False,False,False,False,False,96,1,Insurance,40.4,False,False,0,False,False,False,False,CINF,Financials,Cincinnati Financial
False,False,False,0,False,0,10.38,,1.18,23.99,12.43,False,False,False,False,False,87,2,Diversified Financials,38.97,False,False,0,False,False,False,False,RJF,Financials,Raymond James Financial
False,True,False,0,False,0,5.49,,8.04,21.58,8.04,False,False,False,False,False,55,2,Technology Hardware,29.86,False,False,0,False,False,False,False,APH,Information Technology,Amphenol
False,False,False,0,False,0,15.85,LEAD_PERF,1.71,30.05,12.49,False,False,False,False,False,174,3,Banks,62.38,False,False,0,False,False,False,False,USB,Financials,U.S. Bancorp
False,False,False,0,False,0,9.36,,8.44,24.33,6.53,False,False,False,False,False,9,1,Energy Services,40.5,False,False,0,False,False,False,False,SLB,Energy,Schlumberger
False,False,False,0,False,0,4.33,LAG_PERF,4.51,14.72,5.88,False,False,False,False,False,106,1,Real Estate,9.17,False,False,0,False,False,False,False,SPG,Real Estate,Simon Property Group
False,False,False,0,False,0,6.2,LAG_PERF,3.18,13.45,4.07,False,False,False,False,False,106,0,Software & Services,6.83,False,False,0,False,False,False,False,SNPS,Information Technology,Synopsys
False,False,False,0,False,0,8.13,,9.93,22.79,4.74,False,False,False,False,True,92,2,Food Products,34.44,False,False,0,False,False,False,False,CPB,Consumer Staples,Campbell Soup
False,False,False,0,False,0,3.8,LAG_PERF,1.59,10.66,5.26,False,False,False,False,False,55,1,Technology Hardware,2.13,False,False,0,False,False,False,False,STX,Information Technology,Seagate Technology
False,False,False,0,False,0,10.67,,11.3,26.89,4.91,False,False,False,False,False,92,3,Food Products,50.27,False,False,0,False,False,False,False,HSY,Consumer Staples,The Hershey Company
False,False,False,0,False,0,13.57,,0.69,21.01,6.76,False,True,False,False,True,83,2,Pharmaceuticals,27.85,False,False,0,False,False,False,False,AMGN,Health Care,Amgen
False,False,False,0,False,0,7.81,,14.75,29.36,6.8,False,False,False,False,True,77,2,Chemicals,59.51,False,False,0,False,False,False,False,CE,Materials,Celanese
False,False,False,0,False,0,8.51,LAG_PERF,1.13,15.18,5.54,False,False,False,False,False,57,3,Retailing,10.19,False,False,0,False,False,False,False,GPS,Consumer Discretionary,Gap
False,False,False,0,False,0,6.65,LAG_PERF,0.68,17,9.66,False,False,False,False,False,96,1,Insurance,15.01,False,False,0,False,False,False,False,PFG,Financials,Principal Financial Group
False,False,False,0,False,0,7.26,LAG_PERF,0.47,17.3,9.57,False,False,False,False,False,96,2,Insurance,15.95,False,False,0,False,False,False,False,AFL,Financials,Aflac
False,False,False,0,False,0,12.97,,2,25.6,10.64,False,False,False,False,False,45,2,Consumer Services,45.38,True,False,0,False,False,False,False,MGM,Consumer Discretionary,MGM Resorts International
False,False,False,0,False,0,13.16,LEAD_PERF,18.23,36.4,5.01,False,False,False,False,True,92,3,Food Products,81.67,False,False,0,False,False,False,False,ADM,Consumer Staples,ADM
False,False,False,0,False,0,5.59,LAG_PERF,0.03,11.82,6.2,False,False,False,False,False,55,2,Technology Hardware,4.12,False,False,0,False,False,False,False,CSCO,Information Technology,Cisco Systems
False,False,False,0,False,0,12.19,LAG_PERF,1.23,19.1,5.68,False,False,False,False,False,106,1,Software & Services,21.56,False,False,0,False,False,False,False,FTNT,Information Technology,Fortinet
False,False,False,0,False,0,10.98,,1.89,23.15,10.28,False,False,False,False,False,174,1,Banks,35.82,False,False,0,False,False,False,False,KEY,Financials,KeyCorp
False,False,False,0,False,0,10.1,,1.66,24.57,12.81,False,False,False,False,False,96,3,Insurance,41.39,False,False,0,False,False,False,False,AIZ,Financials,Assurant
False,False,False,0,False,0,7.54,,2.8,22.63,12.29,False,False,False,False,False,87,2,Diversified Financials,33.76,False,False,0,False,False,False,False,AMP,Financials,Ameriprise Financial
False,False,False,0,False,0,10.31,,9.31,27.02,7.41,False,False,False,False,True,28,3,Household Products,50.79,False,False,0,False,False,False,False,PG,Consumer Staples,Procter & Gamble
False,False,False,0,False,0,3.64,LAG_PERF,1.21,11.02,6.17,False,True,False,False,True,83,3,Pharmaceuticals,3.13,False,False,0,False,False,False,False,ILMN,Health Care,Illumina
False,False,True,0,False,0,8.55,,11.09,25.69,6.06,False,False,False,True,False,108,2,Utilities,45.75,False,False,0,False,False,False,False,D,Utilities,Dominion Energy
False,False,False,0,False,0,10.73,LAG_PERF,1.19,18.34,6.41,False,False,False,False,False,106,2,Software & Services,19.19,False,False,0,False,False,False,False,FISV,Information Technology,Fiserv
False,False,False,0,False,0,4.33,LAG_PERF,2.6,13.44,6.52,False,False,False,False,False,25,2,Auto Components,6.82,False,False,0,False,False,False,False,BWA,Consumer Discretionary,BorgWarner
False,False,False,0,False,0,6.35,LAG_PERF,0.84,12.69,5.5,False,False,False,False,True,58,3,Healthcare,5.39,False,False,0,False,False,False,False,ABC,Health Care,AmerisourceBergen
False,False,False,0,False,0,4.25,LAG_PERF,2.75,12.98,5.97,False,False,False,False,False,106,1,Real Estate,5.93,False,False,0,False,False,False,False,VNO,Real Estate,Vornado Realty Trust
False,False,False,0,False,0,5.52,LAG_PERF,0.13,10.36,4.72,False,False,False,False,False,106,2,Software & Services,2.51,False,False,0,False,False,False,False,EA,Communication Services,Electronic Arts
False,False,False,0,False,0,2.22,,3.01,9.77,4.54,False,True,False,False,False,106,0,Real Estate,2.14,False,False,0,False,False,False,False,PEAK,Real Estate,Healthpeak Properties
False,False,False,0,False,0,5.99,LAG_PERF,0.02,11.65,5.65,False,False,False,False,False,61,2,Healthcare,2.83,False,False,0,False,False,False,False,CI,Health Care,Cigna
False,False,True,0,False,0,8.31,LEAD_PERF,19.71,33.53,5.51,False,False,False,False,False,108,2,Utilities,73.34,False,False,0,False,False,False,False,PPL,Utilities,PPL
